candidate_no,channel_name,document_region,candidate_url,channel_id,market,language,category,verified_at,latest_video_at,monitoring_status,notes
16,"Let's Talk Money! with Joseph Hogue, CFA",USA,https://www.youtube.com/@MyMoneyWizard,,NOT_TAIWAN,en,INVESTING,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
17,InvestAnswers,USA,https://www.youtube.com/@InvestAnswers,,NOT_TAIWAN,en,INVESTING_CRYPTO,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
18,Aswath Damodaran,USA,https://www.youtube.com/@AswathDamodaranonValuation,,NOT_TAIWAN,en,VALUATION_EDUCATION,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
19,The Money Guy Show,USA,https://www.youtube.com/@MoneyGuyShow,,NOT_TAIWAN,en,FINANCIAL_PLANNING,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
20,I Will Teach You Stocks,Nigeria / International,https://www.youtube.com/@IWillTeachYouStocks,,NOT_TAIWAN,en,STOCK_EDUCATION,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
21,DipsFx,Nigeria,https://www.youtube.com/@DipsFx,,NOT_TAIWAN,en,TRADING_EDUCATION,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
22,Jude Umeano,Nigeria,https://www.youtube.com/results?search_query=Jude+Umeano,,NOT_TAIWAN,en,FINANCIAL_EDUCATION,,,NEEDS_VERIFICATION_SEARCH_ONLY,仅搜索链接且非台湾候选
23,Samuel Tochi,Nigeria,https://www.youtube.com/results?search_query=Samuel+Tochi,,NOT_TAIWAN,en,FINANCIAL_EDUCATION,,,NEEDS_VERIFICATION_SEARCH_ONLY,仅搜索链接且非台湾候选
24,Francis Ezirim,Nigeria,https://www.youtube.com/results?search_query=Francis+Ezirim,,NOT_TAIWAN,en,FINANCIAL_EDUCATION,,,NEEDS_VERIFICATION_SEARCH_ONLY,仅搜索链接且非台湾候选
25,Michael In Trading,Nigeria,https://www.youtube.com/@michaelintrading,,NOT_TAIWAN,en,TRADING_EDUCATION,,,NEEDS_VERIFICATION_NOT_TAIWAN_CANDIDATE,文档候选不等于已核验来源
26,Ishak Hassan,UNKNOWN,https://www.youtube.com/results?search_query=Ishak+Hassan,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
27,Karan Singh Arora,UNKNOWN,https://www.youtube.com/results?search_query=Karan+Singh+Arora,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
28,Umesh Sharma,UNKNOWN,https://www.youtube.com/results?search_query=Umesh+Sharma,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
29,Pushpendrasinghoffical,UNKNOWN,https://www.youtube.com/results?search_query=Pushpendrasinghoffical,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
30,Crypto crazeadnan,UNKNOWN,https://www.youtube.com/results?search_query=Crypto+crazeadnan,,UNKNOWN,UNKNOWN,CRYPTO,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
31,Bhanu_pathak,UNKNOWN,https://www.youtube.com/results?search_query=Bhanu_pathak,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
32,Trade with anant,UNKNOWN,https://www.youtube.com/results?search_query=Trade+with+anant,,UNKNOWN,UNKNOWN,TRADING,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
33,Shubhamtrading_coach,UNKNOWN,https://www.youtube.com/results?search_query=Shubhamtrading_coach,,UNKNOWN,UNKNOWN,TRADING,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
34,Not.a Dubai broker,UNKNOWN,https://www.youtube.com/results?search_query=Not.a+Dubai+broker,,UNKNOWN,UNKNOWN,TRADING,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
35,Azharsajan,UNKNOWN,https://www.youtube.com/results?search_query=Azharsajan,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
36,finglory,UNKNOWN,https://www.youtube.com/results?search_query=finglory,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
37,Chahalvermma,UNKNOWN,https://www.youtube.com/results?search_query=Chahalvermma,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
38,Rusal_jobborov,UNKNOWN,https://www.youtube.com/results?search_query=Rusal_jobborov,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
39,Danny_trading_academy,UNKNOWN,https://www.youtube.com/results?search_query=Danny_trading_academy,,UNKNOWN,UNKNOWN,TRADING,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
40,Amirfxtrade,UNKNOWN,https://www.youtube.com/results?search_query=Amirfxtrade,,UNKNOWN,UNKNOWN,TRADING,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
41,Innoh Gicheru,UNKNOWN,https://www.youtube.com/results?search_query=Innoh+Gicheru,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
42,Gold trader_su,UNKNOWN,https://www.youtube.com/results?search_query=Gold+trader_su,,UNKNOWN,UNKNOWN,TRADING,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
43,Numon_x,UNKNOWN,https://www.youtube.com/results?search_query=Numon_x,,UNKNOWN,UNKNOWN,UNKNOWN,,,NEEDS_VERIFICATION_SEARCH_ONLY,原文标记To be verified
