channel_id,channel_name,twse_tpex_eod_status,historical_baseline_anomaly_status,industry_mapping_status,mops_material_disclosure_status,monthly_revenue_financials_calls_guidance_status,taiwan_news_status,international_news_status,x_status,us_eod_status,earnings_macro_calendar_status,channel_30d_adoption_history_status,feedback_1h_6h_24h_status,core_dependencies,critical_gaps,pilot_feasibility,evidence_basis
ch-11-global-macro-balance,宏觀天秤,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,MACRO_CALENDAR;GLOBAL_MARKET_EOD;OFFICIAL_MACRO_DATA,宏观日历与全球资产数据未接入,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-12-global-capital-map,全球資金地圖,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,GLOBAL_ETF_FLOW;GLOBAL_EOD;FX_RATES,全球 ETF 申赎、债券、汇率与避险资产数据未接入,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-13-geopolitical-powder-keg,地緣炸藥庫,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,AUTHORIZED_INTERNATIONAL_NEWS;COMMODITY_EOD;SUPPLY_CHAIN_EVIDENCE,国际新闻权利与大宗商品行情未接入;事件触发频道不适合固定每日满额,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-14-commodity-cycle-navigator,週期航海家,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,COMMODITY_EOD;LME_SHFE_INVENTORY;BDI;RESOURCE_FILINGS,商品、库存、运价与资源股数据未接入,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-15-onchain-microscope,鏈上顯微鏡,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,ONCHAIN_PROVIDER;DERIVATIVES_OI_LIQUIDATION;CRYPTO_CLOCK,链上、OI、清算与质押数据均未接入;加密市场24/7但原文使用‘交易日收盘后’，时点需确认,NOT_FEASIBLE,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-16-china-adr-weather-vane,中概風向球,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,US_CHINA_ADR_EOD;FX;13F;AUTHORIZED_NEWS,美股/中概行情、DXY/CNH、13F与新闻授权未接入,NOT_FEASIBLE,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-17-financial-literacy-bomb-squad,財商拆彈組,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,OFFICIAL_REGULATOR;PRODUCT_TERMS;AUTHORIZED_CASES,消费者金融产品、监管与诈骗案例来源未接入,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-18-semiconductor-hacker,半導體駭客,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,TWSE_TPEX_EOD;US_EOD;SUPPLY_CHAIN_MAPPING;TECHNICAL_SOURCES,美股 EOD 与技术/供应链来源未接入;目录归为理财教育但矩阵归为半导体,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-19-wall-street-thermometer,華爾街溫度計,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,US_EOD;ETF_FLOW;OPTIONS_SENTIMENT;13F_MARGIN,美股 EOD、ETF流量、VIX/PutCall、13F和融资数据未接入;目录归为理财教育但矩阵归为美股资金,NOT_FEASIBLE,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
ch-20-dca-lab,定投實驗室,AVAILABLE_VERIFIED,AVAILABLE_VERIFIED,PARTIAL,PARTIAL,NOT_IMPLEMENTED,BLOCKED_RIGHTS,BLOCKED_RIGHTS,AVAILABLE_BUT_PROTOTYPE,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,LONG_HISTORY;ETF_REFERENCE_DATA;BACKTEST_ENGINE,10-30年历史、ETF费率/跟踪误差与回测引擎未接入,LOW,migrations/013_official_data_connect.sql; src/global_x_finance/official_data.py; src/global_x_finance/anomaly_engine.py; data/taiwan-demo.db read-only audit 2026-08-18; migrations/015_industry_mapping.sql (uncommitted/not applied); src/global_x_finance/x_intelligence.py
