registry_source_id,platform,source_type,account_handle,profile_url,channel_name,channel_id,channel_url,publisher,publisher_group,market,language,category,verified_at,verification_evidence_url,monitoring_method,source_status,monitoring_status,expected_interval_minutes,candidate_origin,single_connectivity_verified,continuous_sla_verified,notes
TW-B02,WEB,FINANCIAL_MEDIA,,,,,,經濟日報,udn_money,TW,zh-Hant,FINANCIAL_MEDIA,2026-08-13,https://money.udn.com/,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TERMS_REVIEW,,P01,true,false,
TW-B03,WEB,FINANCIAL_MEDIA,,,,,,工商時報,ctee,TW,zh-Hant,FINANCIAL_MEDIA,2026-08-13,https://www.ctee.com.tw/,MANUAL_ONLY,BLOCKED,BLOCKED_ROBOTS_OR_PERMISSION,,P01,true,false,不得绕过robots或授权限制
TW-B04,WEB,FINANCIAL_AGGREGATOR,,,,,,Yahoo奇摩股市,yahoo_taiwan,TW,zh-Hant,FINANCIAL_MEDIA,2026-08-13,https://tw.stock.yahoo.com/,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TERMS_REVIEW,,P01,true,false,
TW-B05,WEB,FINANCIAL_MEDIA,,,,,,Anue鉅亨網,cnyes,TW,zh-Hant,FINANCIAL_MEDIA,2026-08-13,https://news.cnyes.com/,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TERMS_REVIEW,,P01,true,false,
TW-B06,WEB,FINANCIAL_MEDIA,,,,,,MoneyDJ理財網,moneydj,TW,zh-Hant,FINANCIAL_MEDIA,2026-08-13,https://www.moneydj.com/,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TERMS_REVIEW,,P01,true,false,
TW-B07,WEB,INDUSTRY_MEDIA,,,,,,TechNews科技新報,technews,TW,zh-Hant,FINANCIAL_MEDIA,2026-08-13,https://technews.tw/,NOT_CONFIGURED,NEEDS_VERIFICATION,NEEDS_TERMS_REVIEW,,P01,true,false,
TW-B08,WEB,INDUSTRY_MEDIA,,,,,,DIGITIMES,digitimes,TW,zh-Hant,FINANCIAL_MEDIA,2026-08-13,https://www.digitimes.com.tw/,MANUAL_ONLY,BLOCKED,BLOCKED_LICENSE_OR_PAYWALL,,P01,true,false,不得绕过付费墙
TW-X001,X,KOL_X_ACCOUNT,mingchikuo,https://x.com/mingchikuo,,,,郭明錤｜Ming-Chi Kuo,mingchikuo,TW,zh-Hant,SEMICONDUCTOR_KOL,2026-08-14T12:00:00Z,https://x.com/mingchikuo,XHOTTOPIC_FXTWITTER_READ_ONLY,VERIFIED_ACTIVE,SINGLE_CONNECTIVITY_VERIFIED,10,XHOTTOPIC_FOLLOWING,true,false,第三方只读发现适配器；非官方X API；默认OPINION
TW-X002,X,KOL_X_ACCOUNT,dnystedt,https://x.com/dnystedt,,,,Dan Nystedt,dnystedt,TW,en,SEMICONDUCTOR_JOURNALIST,2026-08-14T12:00:00Z,https://x.com/dnystedt,XHOTTOPIC_FXTWITTER_READ_ONLY,VERIFIED_ACTIVE,SINGLE_CONNECTIVITY_VERIFIED,10,XHOTTOPIC_FOLLOWING,true,false,第三方只读发现适配器；非官方X API；默认OPINION
TW-X003,X,INDUSTRY_X_ACCOUNT,trendforce,https://x.com/trendforce,,,,TrendForce,trendforce,TW,en,SEMICONDUCTOR_RESEARCH,2026-08-14T12:00:00Z,https://x.com/trendforce,XHOTTOPIC_FXTWITTER_READ_ONLY,VERIFIED_ACTIVE,SINGLE_CONNECTIVITY_VERIFIED,10,XHOTTOPIC_FOLLOWING,true,false,第三方只读发现适配器；非官方X API；默认OPINION
TW-X004,X,KOL_X_ACCOUNT,tculpan,https://x.com/tculpan,,,,Tim Culpan,tculpan,TW,en,TAIWAN_TECH_JOURNALIST,2026-08-14T12:00:00Z,https://x.com/tculpan,XHOTTOPIC_FXTWITTER_READ_ONLY,VERIFIED_ACTIVE,SINGLE_CONNECTIVITY_VERIFIED,10,XHOTTOPIC_FOLLOWING,true,false,第三方只读发现适配器；非官方X API；默认OPINION
TW-X005,X,KOL_X_ACCOUNT,jimmy_yoasobi,https://x.com/jimmy_yoasobi,,,,Jimmy,jimmy_yoasobi,TW,zh-Hant,TAIWAN_MARKET_KOL,2026-08-14T12:00:00Z,https://x.com/jimmy_yoasobi,XHOTTOPIC_FXTWITTER_READ_ONLY,VERIFIED_ACTIVE,SINGLE_CONNECTIVITY_VERIFIED,10,XHOTTOPIC_FOLLOWING,true,false,第三方只读发现适配器；非官方X API；默认OPINION
TW-YT001,YOUTUBE,OFFICIAL_YOUTUBE,,,臺灣證券交易所Taiwan Stock Exchange,UCb_JzqaWz4Dw1OScrDpGxrg,https://www.youtube.com/channel/UCb_JzqaWz4Dw1OScrDpGxrg,臺灣證券交易所,twse,TW,zh-Hant,OFFICIAL_VIDEO,2026-08-14T12:00:00Z,https://cgc.twse.com.tw/video/promoteVideoCh,YOUTUBE_PUBLIC_ATOM,VERIFIED_ACTIVE,SINGLE_CONNECTIVITY_VERIFIED,30,TWSE_OFFICIAL_PAGE,true,false,官方页面交叉核验频道；视频进入选题池默认OPINION；与TWSE同publisher_group
