序号,X账号,账号名称,简介,粉丝数,地区,X链接,账号角色,主要市场,影响股票行情的路径,关注优先级,可信度／使用提示
17,@jackclarkSF,Jack Clark,"@AnthropicAI, ONEAI OECD, co-chair @indexingai, writer @ https://t.co/3vmtHYkIJ2 Past: @openai, @business @theregister. Neural nets, distributed systems, weird futures",137066,"San Francisco, CA",https://x.com/jackclarkSF,AI高管／政策研究,美股AI产业链,Anthropic高管对模型、政策与算力的分析可影响监管及AI板块叙事,观察名单,兼具个人观点与行业信息，需区分正式披露
18,@Zai_org,Z.ai,"The AI Lab behind GLM models, dedicated to inspiring the development of AGI to benefit humanity.\n\nhttps://t.co/7a5aSCUNcZ\nhttps://t.co/x14hb3klXm",126213,user_feedback@z.ai,https://x.com/Zai_org,AI公司官方,中国AI,GLM模型与商业化进展可影响中国AI应用和算力竞争预期,观察名单,一手产品信息；其对上市公司股价影响多为间接
19,@SebastienBubeck,Sebastien Bubeck,I work on AI at OpenAI. Former VP AI and Distinguished Scientist at Microsoft.,78451,"Seattle, WA",https://x.com/SebastienBubeck,AI研究负责人／从业者,美股AI产业链,OpenAI研究与模型能力信号可能影响AI竞争格局及微软相关预期,观察名单,个人观点；并非OpenAI或微软正式公告
20,@testingcatalog,🚨 AI News | TestingCatalog,"Latest AI News on AI Agents, Model Releases, Tools, Leaks, and Rumors 🗞️",70731,"Berlin, Germany",https://x.com/testingcatalog,AI新闻／爆料,全球AI,模型发布、产品泄露和行业快讯可能提前影响AI板块情绪,观察名单,含传闻和泄露；必须二次核实后才能作为行情依据
21,@_LuoFuli,Fuli Luo,Now building @XiaomiMiMo. Previously @deepseek_ai,67947,,https://x.com/_LuoFuli,AI从业者,中国科技／AI,小米与DeepSeek背景，其技术与产品动向可影响中国AI竞争和小米预期,观察名单,个人账号；不能替代小米或DeepSeek官方披露
22,@trendforce,TrendForce,"Founded in 2000, TrendForce is a global provider of market intelligence on technology industries based in Taipei. Also find us on https://t.co/FHEud9jhQd",20968,"Taipei City, Taiwan",https://x.com/trendforce,产业研究机构,台湾＋全球科技,存储、面板、半导体与AI供应链报价和预测会影响相关股票估值,核心关注,专业研究；详细数字应核对原始报告口径
23,@Tesla,Tesla,"Electric vehicles, giant batteries & solar, AI & robotics",24788434,,https://x.com/Tesla,美股上市公司官方,美股／AI与机器人,一手公司动态,核心关注,高价值一手或机构线索；涉及财务、行情及公司事实仍需核对正式公告与原始资料
24,@Meta,Meta,Connect with what you love to make things happen. It’s Your World.,9884754,Metaverse,https://x.com/Meta,美股上市公司官方,美股／AI,一手公司动态,核心关注,高价值一手或机构线索；涉及财务、行情及公司事实仍需核对正式公告与原始资料
25,@NVIDIAGeForce,NVIDIA GeForce,"Introducing GeForce RTX 50 Series graphics cards & laptops, powered by NVIDIA Blackwell and AI.",3081269,,https://x.com/NVIDIAGeForce,上市公司产品官方,美股／AI半导体,GPU产品和需求信号,核心关注,高价值一手或机构线索；涉及财务、行情及公司事实仍需核对正式公告与原始资料
26,@nvidianewsroom,NVIDIA Newsroom,The official newsroom for NVIDIA. Innovation delivered daily.,62038,,https://x.com/nvidianewsroom,上市公司新闻室,美股／AI半导体,公司一手新闻,核心关注,高价值一手或机构线索；涉及财务、行情及公司事实仍需核对正式公告与原始资料
27,@MorganStanley,Morgan Stanley,"Follow for the latest Morgan Stanley news, expert insights and to see how our integrated firm supports clients globally. Disclosures: https://t.co/SyWvl5q9ac",753753,,https://x.com/MorganStanley,金融机构官方,全球市场,机构研究与市场观点,核心关注,高价值一手或机构线索；涉及财务、行情及公司事实仍需核对正式公告与原始资料
28,@nikkei,日本経済新聞 電子版（日経電子版）,日経電子版の公式アカウントです。トップページで報じたニュースを中心に注目コンテンツを24時間発信。画像・映像・テキストの改変およびAIを用いた加工処理等は日経の著作権ポリシーで禁じています。\n\n▶「著作権に対する姿勢」https://t.co/KY97qzNECm,3918938,,https://x.com/nikkei,财经媒体,日本／全球市场,亚洲宏观与公司新闻,核心关注,高价值一手或机构线索；涉及财务、行情及公司事实仍需核对正式公告与原始资料
29,@KobeissiLetter,The Kobeissi Letter,"Official X account for The Kobeissi Letter, an industry leading commentary on the global capital markets. Email us: support@thekobeissiletter.com",2275980,United States,https://x.com/KobeissiLetter,市场研究媒体,全球市场,宏观与跨资产市场观察,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
30,@ParadisLabs,Paradis Labs,AI/Semiconductor Analyst & Trader.\n\nThematic investment research.\n\nNot financial advice (DYODD).,63759,,https://x.com/ParadisLabs,半导体投资研究,AI／半导体,产业与估值观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
31,@LinQingV,Macro_Lin｜市场观察,Ex-quant & PM｜AI chip design｜Semis × Capital Markets｜Not Financial Advice,54575,,https://x.com/LinQingV,半导体／资本市场研究,AI芯片／全球市场,产业与资本市场观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
32,@dnystedt,Dan Nystedt,"Former journalist, now financial analyst. Based in Taipei. Tweet mainly about semiconductors and Taiwan. Not investment advice. Views are my own.",52626,"Hong Kong and Taipei, Taiwan",https://x.com/dnystedt,半导体财经分析师,台湾／半导体,台湾产业与市场研究,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
33,@pequityresearch,P Equity Research 📰,Research 📃 | Semiconductors | PMs open 👇 | Sharing my knowledge & insights with the world 🌍 | Deep dives posted on my substack! 📍,37965,researchpequity@gmail.com,https://x.com/pequityresearch,半导体研究,美股／半导体,产业深度研究,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
34,@q083v4,爱吃红烧肉,雪球累计上万粉丝，非知名财经博主\n985本硕博，华为，央企前雇员，负责三家公司mlcc，半导体基板关键材料与工艺。\n梦想是环游世界。\n所有互联网平台内容是个人复盘笔记，不构成任何投资建议,18224,香港,https://x.com/q083v4,半导体产业KOL,中国／半导体,供应链和材料观点,低置信观察,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
35,@AlphaguyTrading,Alpha哥AI投资日记 🌴 📈,一个自由的老韭菜，实盘趋势交易员（美股/Crypto/大宗）\n2025 Binance Top 1% ｜ 2026 YTD +150%\n主攻：AI硬件、存储、半导体周期\n不带单、纯粹复盘，只聊硬核 Alpha\n不会私聊任何人不碰任何人资金,3194,Moon,https://x.com/AlphaguyTrading,AI半导体交易KOL,美股／AI半导体,交易复盘与产业观点,低置信观察,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
36,@jimmy_yoasobi,法克魷吉米 Jimmy | Real TSMC Insight | 純愛を学び中 💜,"R&D Engineer \nLong on $AMD, $SMH, $QQQ since 2016\n從第一性原理（First Principles）拆解半導體產業內幕\n無言フォロー失礼します",2328,新竹 Hsinchu,https://x.com/jimmy_yoasobi,台湾半导体KOL,台湾／美股半导体,台积电与半导体产业观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
37,@PeterSchiff,Peter Schiff,"Chief Economist & Global Strategist https://t.co/X35usGhhgW, Chairman https://t.co/ulhU3vptUb, Founder https://t.co/zB1vZlRBGh, Host https://t.co/XazFnrIREg, Best-selling Author",1602799,,https://x.com/PeterSchiff,宏观经济学家,全球宏观,利率、通胀和风险资产观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
38,@MacroMargin,宏观边际MacroMargin,Macro Research Analyst ，聚焦中国宏观政策、美联储风向，跟踪分析边际变化。欢迎了解订阅我的宏观数据库、政策周报👇,194006,,https://x.com/MacroMargin,宏观研究,中国／全球宏观,政策与美联储线索,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
39,@TJ_Research,投资TALK君,AI观察员；美联储观察员；资管打工人.\n美股，宏观，偶尔CRYPTO\n油管17万订阅，周二，四，日更新\n注意：任何平台以我名义拉群，拉投资，推荐股票的都是诈骗！\n商业合作：INVESTMENTTALKJUN@GMAIL.COM,86308,一年两季的加拿大,https://x.com/TJ_Research,美股／宏观KOL,美股／宏观／AI,市场与政策观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
40,@Trader_S18,TraderS | 缺德道人,宏观 × 美股 × Crypto 交易员\n拆解美联储、战争与全球资金流\n提前捕捉 美股 / 原油 / BTC / 金银 / 风险资产拐点\n和读者一起看金融风暴 🌪\n\nPowered by OKX｜超100%POR资金储备，安全首选。交易所&钱包，OKX就够 。🔗 https://t.co/idtBAtvFqH,64490,MOON,https://x.com/Trader_S18,宏观／美股KOL,美股／宏观,跨资产市场观点,低置信观察,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
41,@GarrettBullish,Garrett,"macro, crypto, stocks and everything that moves them.\nhttps://t.co/7BH7bkvRbJ",55492,,https://x.com/GarrettBullish,股票／宏观KOL,美股／宏观,市场与宏观观点,低置信观察,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
42,@fupenglondon,付鹏的财经世界,Bitfire Group首席经济学家\nAvenir Capital首席经济学家\n 《见证逆潮》《见证联动》作者\n华尔街见闻《付鹏说》专栏 作者\n原东北证券首席经济学家\n对冲基金首席策略官\n运营：715传媒 & 全天候型メディア,51343,all around world,https://x.com/fupenglondon,宏观经济学家,中国／全球宏观,宏观与资产配置观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
43,@Franktradinglog,Frank trading,A macro trader focused on global markets and commodities.\n\nAll posts are NOT financial advice.,24159,"Chicago, IL",https://x.com/Franktradinglog,宏观交易研究,全球宏观,宏观与商品市场观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
44,@ApeOfGreatWall,墙街研究猿_The Ape of the Great Wall,macro trend ➡️fundemantal➡️short term sentiment ➡️ speculation,1042,,https://x.com/ApeOfGreatWall,宏观市场研究,中国／全球市场,宏观至情绪的研究框架,低置信观察,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
45,@fundstrat,Thomas (Tom) Lee (not drummer) FundstratDirect.com,CIO Fundstrat Capital @FundstratCap $GRNY $GRNJ| Research Head @fundstratdirect | @CNBC Contributor | Chairman @BitMNR $BMNR BitMine | Wikipedia: https://t.co/8QsXKpzGT7,640527,"New York, NY",https://x.com/fundstrat,机构研究／市场策略,美股／宏观,市场策略观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
46,@wallstengine,Wall St Engine,"Fast, accurate, consistent stock market news, earnings highlights & more. By Brillinsight. Not financial advice.",167067,Wall Street,https://x.com/wallstengine,美股市场媒体,美股,财报和市场快讯,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
47,@Unclestocknotes,Unclestocknotes,"U.S. stock market influencer | Financial background | Global traveler | Sharing insights on markets, trade, and economics | Swim, basketball, golf enthusiast.",29299,"Texas, USA",https://x.com/Unclestocknotes,美股市场KOL,美股／宏观,市场、贸易与经济观点,低置信观察,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
48,@karpathy,Andrej Karpathy,I like training large deep neural nets.,3437321,Stanford,https://x.com/karpathy,AI研究领袖,全球AI,模型能力与AI产业趋势线索,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
49,@DavidSacks,David Sacks,"Tech founder & investor @Craft_Ventures @theallinpod. Co-Chair, President’s Council of Advisers on Science & Technology.",1623525,,https://x.com/DavidSacks,科技投资人／政策顾问,美股科技／政策,科技政策和AI行业观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
50,@RobinhoodApp,Robinhood,Trade. Invest. Earn.,1296273,"Menlo Park, CA",https://x.com/RobinhoodApp,金融平台官方,美股／零售交易,市场参与和行业动态,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
51,@vladtenev,Vlad Tenev,CEO and Co-Founder @RobinhoodApp 📈📱Executive Chairman and Co-Founder @HarmonicMath 👁️‍🗨️👨‍🏫,759767,,https://x.com/vladtenev,金融平台高管,美股／零售交易,Robinhood与零售市场动态,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
52,@ChatGPT,ChatGPT,ChatGPT is for the people.,611505,Supercomputer,https://x.com/ChatGPT,AI产品官方,美股AI产业链,OpenAI产品一手动态,核心关注,高价值一手或机构线索；涉及财务、行情及公司事实仍需核对正式公告与原始资料
53,@alexandr_wang,Alexandr Wang,"chief ai officer @meta, founder meta superintelligence labs, founder @scale_ai. rational in the fullness of time",562235,"San Francisco, CA",https://x.com/alexandr_wang,AI公司高管,美股AI产业链,Meta与AI产业竞争线索,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
54,@citrini,Citrini,"Thematic, Cross-Asset Investment Research",283874,"New York, NY",https://x.com/citrini,跨资产投资研究,全球市场,主题与跨资产研究,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
55,@alexeheath,Alex Heath,covering the AI race,264345,LA/SF,https://x.com/alexeheath,AI产业记者,美股AI产业链,AI竞争和公司新闻线索,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
56,@jukan05,Jukan,@citrini | Not Investment Advice | DYODD,175863,,https://x.com/jukan05,主题投资研究,全球市场,产业投资研究观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
57,@cnfinancewatch,华尔街观察 Xtrader,"PhD, Professor, CIO ¦ WSV金融模型首席技术官 ¦ 大类资产轮动量化交易者 ¦ 每日A股、美股盘前信息汇总 ¦ 每日公司隐性利好速读 ¦ 华尔街观察周报 ¦ 中美对标研究、独家WSV量化交易数据分享 ¦",123053,"Motesto, CA",https://x.com/cnfinancewatch,财经KOL／量化,A股／美股,盘前信息与量化观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
58,@tengyanAI,Teng Yan,Ex-doctor. I publish the AI infrastructure & supply chain intelligence you can't get anywhere else. Building @tessara_ai,48662,,https://x.com/tengyanAI,AI基础设施研究,AI算力／供应链,AI基础设施产业研究,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
59,@octopusycc,大老师Bugsbunny ｜DRAM UP only,美股聪明钱猎手｜期权流+信息流｜3x DRAM｜NFA｜Non shitposting X,45117,新加坡,https://x.com/octopusycc,美股研究KOL,美股／存储半导体,期权流与存储产业观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
60,@NotTomBrown,Tom Brown,Co-founder and Chief Compute Officer @AnthropicAI,35612,SF,https://x.com/NotTomBrown,AI公司高管,美股AI产业链,Anthropic算力与公司动态线索,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
61,@sssjeffpu,Jeff Pu,Tech Enthusiast. 20 years tech equity research + industry.,34916,Hong Kong,https://x.com/sssjeffpu,科技股票研究,美股／科技,科技股与产业研究观点,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
62,@FundaAI,FUNDA,The full-stack research platform for public equity investors. https://t.co/0xRZegn2ep sales@funda.ai,27477,,https://x.com/FundaAI,股票研究平台,美股,上市公司研究线索,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
63,@coatuemgmt,COATUE,Coatue is a technology investment platform powering innovation across all stages.\nhttps://t.co/3wGjwI58jt,24299,"New York, NY",https://x.com/coatuemgmt,科技投资机构,美股／科技,科技公司与资本市场线索,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
64,@tculpan,Tim Culpan,"Culpium || Award winning journalist. Ironman. Pilot. Chipwatcher. 中文, Java, , Python, C. Masters in CS. #NoMeatAthlete",18630,"Taipei City, Taiwan",https://x.com/tculpan,科技产业记者,台湾／半导体,芯片产业新闻,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
65,@TMTBreakout,TMT Breakout,"Top Ranked Substack | 2x DaiIy Institutional-grade insights + recaps of Wall Street research, earnings, news, and alt data | 17yr Tech HF Manager | TMT Breakout",16890,🚀 2x Daily Tech Writeups  👉,https://x.com/TMTBreakout,TMT机构研究,美股／科技,华尔街研究与财报摘要,观察名单,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
66,@stockwilsonrice,股海飯桶🍚 wilson,食量太大，為了養活自己所以開始投資，這邊分享產業研究員日常、投資心得以及如何辛苦的養活自己😓，歡迎大家交流～\nwilsonrice2330@gmail.com,5510,,https://x.com/stockwilsonrice,台湾产业研究KOL,台湾股市,产业研究与投资观点,低置信观察,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
67,@vcmktasa,Victor 🐎,丙午馬年 三駕馬車 $NVDA $TSM $BTC\nTW & US stocks | researcher @168X_Fortune | \ncrypto '18 | @BitcoinHubTW,2020,Taipei,https://x.com/vcmktasa,台美股研究者,台湾／美股,NVDA、TSM等台美股观点,低置信观察,账号身份与近期内容仍需定期复核；只作观点和选题线索，财经事实必须回查官方公告或原始资料
